Worksheet Row,Item / Pin Name,Current Column C,Current Column D,Recommended Column C,Recommended Column D,Priority,Why / Where to update,Pin Connection Guideline,Additional Info,Power Group,Decap,Decap Additional Info
52,VCCIO_HVIO,Connected correctly to 3.3v,OK,VCCIO_HVIO shown as 3.3 V. Confirm every bank 5A/5B peripheral is 3.3-V tolerant or level shifted; add matching HVIO IO_STANDARD assignments in QSF.,WARNING,WARNING,QSF has many bank 5A/5B pins but no IO_STANDARD assignments.,"You can connect these pins to a 1.8-V, 2.5-V, or 3.3-V power supply.",Buffer analog power supply pin for HVIO.,2B,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,Per IO bank
53,VCCL_ADC_SDM,Connected correctly to 0.78v,OK,Connected correctly to 0.78v,OK,OK,No change recommended from available schematic/QSF evidence.,"For the range of the VCCL_ADC_SDM power supply voltage, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. / VCCL_ADC_SDM can be shared with VCC. / Do not leave the VCCL_ADC_SDM floating or connected to GND.",HPS DSU and periphery voltage sense.,1,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,-
54,VCC_IO_SDM,Connected correctly to 0.78V,OK,Connected correctly to 0.78V,OK,OK,No change recommended from available schematic/QSF evidence.,"For the range of the VCC_IO_SDM power supply voltage, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. / VCC_IO_SDM can be shared with VCC. / Do not leave the VCC_IO_SDM floating or connected to GND.",SDM block I/O digital supply voltage sense.,1,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,-
55,VCC_HSSI_L1,Connected correctly to 0.78v,OK,"Powered at 0.78 V. If GTS is truly unused, generate Quartus .pin/PTC to decide whether powering vs power-down/grounding is intended for this product.",OK,OK,Powering unused GTS is acceptable if chosen intentionally; do not leave rail floating.,Connect VCC_HSSI to low noise switching regulator. Refer to the Power Distribution Network Design Guidelines section in the PCB Design Guidelines User Guide: Agilex 3 FPGAs and SoCs for the decoupling capacitor requirement. / Do not tie it to GND or leave it floating if unused.,"GTS transceiver digital logic power supply. / - For the devices with speed grade -6S, it is 0.78-V. / - For the devices with speed grade -7S, it is 0.75- V. / For more information about the supported pins, refer to the device pin-out file.",1,Bottom-side Capacitors :1x 10uF 0402 Periphery Capacitors :1x 10uF 0402,Per transceiver bank
56,VCCEHT_GTSL1A,Connected correctly to 1.8V,OK,"Powered at 1.8 V through filtered/shared VCCPT rail. If GTS is unused and no future use is planned, verify with .pin/PTC whether grounding is allowed/preferred.",OK,OK,Guideline allows power-down choices based on design intent.,VCCEHT_GTS should share 1.8-V rail with VCCPT through a proper isolation filtering. Refer to PCB Design Guidelines User Guide: Agilex 3 FPGAs and SoCs for fitter details and decoupling capacitor requirement. / Tie to GND if the GTS transceiver bank supports power down and you do not plan to use it in the future. Refer to GTS Transceiver PHY User Guide for GTS transceiver bank that supports power down.,"GTS transceiver high-voltage analog power supply pins. / For more information about the supported pins, refer to the device pin-out file.",2A,Bottom-side Capacitors :1x 10uF 0402 Periphery Capacitors :-,Per transceiver bank
57,VCCERT_GTSL1A,Connected correctly to 1.0V,OK,Powered at 1.0 V. VCCH_SDM is also tied to 1.0 V because the selected device/package includes GTS resources.,OK,OK,Consistent with device-with-transceiver sense guidance.,Connect VCCERT_GTS to 1.0-V dedicated regulator. Refer to PCB Design Guidelines User Guide: Agilex 3 FPGAs and SoCs for decoupling capacitor requirement. / Tie to GND if the GTS transceiver bank supports power down and you do not plan to use it in the future. Refer to GTS Transceiver PHY User Guide for GTS transceiver bank that supports power down.,"GTS transceiver analog 1.0-V logic power pins. / For more information about the supported pins, refer to the device pin-out file.",1,Bottom-side Capacitors :1x 10uF 0402 Periphery Capacitors :1x 47uF 0805,Per transceiver bank
59,HPS Power Pins,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
60,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,Power Group,Decap,Decap Additional Info
61,VCCL_HPS,Connected correctly to 0.78v,OK,Connected correctly to 0.78v,OK,OK,No change recommended from available schematic/QSF evidence.,"For the range of the VCCL_HPS power supply voltage, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. Altera recommends you share VCCL_HPS with VCC together. / If you do not intend to utilize the HPS in the Agilex 3 device, you must still provide power to the HPS power supply. Do not leave the VCCL_HPS floating or connected to GND.",VCCL_HPS supplies power to the HPS DSU and periphery circuitry.,1,Bottom-side Capacitors :2x 10uF 0402 or 3x 4.7uF 0201 Periphery Capacitors :1x 22uF 0603,-
62,VCCL_HPS_CORE0_CORE1,Connected correctly to 0.78v,OK,Connected correctly to 0.78v,OK,OK,No change recommended from available schematic/QSF evidence.,"For the range of the VCCL_HPS_CORE0_CORE1 power supply voltage, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. / VCCL_HPS_CORE0_CORE1 must be sourced from the same regulator with VCCL_HPS. Altera recommends you share this power with VCC together. / You have the option to connect this pin to GND if you do not intend to use the Cortex*-A55 cores.",Supply power to HPS A55 Core 0 and Core 1.,1,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,"Per HPS_CORE, CORE0_CORE1."
63,VCCIO_HPS,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect these pins to 1.8-V power supply. You have the option to source VCCIO_HPS pins from the same regulator as VCCPT. / If you do not intend to utilize the HPS in the Agilex 3 device, you must still provide power to the HPS power supply. Do not leave the VCCIO_HPS floating or connected to GND.",The HPS dedicated I/Os support 1.8-V voltage level.,2A,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :-,-
64,VCCPLL1_HPS VCCPLL2_HPS,Connected correctly to 1.8V,OK,Connected correctly to 1.8V,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect these pins to a 1.8-V power supply. You have the option to share VCCPLL1_HPS VCCPLL2_HPS with the same regulator as VCCPLL_SDM. / If you do not intend to utilize the HPS in the Agilex 3 device, you must still provide power to the HPS power supply. Do not leave the VCCPLL1_HPS VCCPLL2_HPS floating or connected to GND.",Supply analog power to the main HPS PLLs.,2A,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :LC filter capacitors,-
65,VCCPLLDIG1_HPS VCCPLLDIG2_HPS,Connected correctly to 0.78v,OK,Connected correctly to 0.78v,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect this to the VCCL_HPS with proper isolation filtering. / If you do not intend to utilize the HPS in the Agilex 3 device, you must still provide power to the HPS power supply. Do not leave the VCCPLLDIG1_HPS VCCPLLDIG2_HPS floating or connected to GND.",Digital power supply of the peripheral HPS PLLs.,1,Bottom-side Capacitors :1x 1uF 0201 Periphery Capacitors :LC filter capacitors,-
69,SDM,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
71,SDM_IO Assignment,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
72,Preset,,,"Use a custom ASx4 assignment, not blank: CONF_DONE=SDM_IO16, INIT_DONE=SDM_IO0, HPS_COLD_nRESET=SDM_IO10 if schematic net is retained, PWRMGT_SCL/SDA per schematic (likely SDM_IO14/SDM_IO11).",WARNING,WARNING,Rows 73-79 are blank while schematic routes optional SDM status/reset/power-management nets.,,,,,
73,CONF_DONE,,,"CONF_DONE = SDM_IO16, pulled up to 1.8 V with 10 kohm if monitored.",OK,OK,Schematic page 12 shows SDM_CONF_DONE; worksheet signal assignment should match.,,,,,
74,INIT_DONE,,,"INIT_DONE = SDM_IO0, pulled up to 1.8 V with 10 kohm if used.",OK,OK,Schematic page 12 shows SDM_INIT_DONE; current row 94 warning is due to missing assignment.,,,,,
75,CvP_CONFDONE,,,CvP_CONFDONE not used.,NOT USED,NOT USED,"AS x4 configuration, no CvP shown.",,,,,
76,SEU_ERROR,,,SEU_ERROR not used unless explicitly routed elsewhere.,NOT USED,NOT USED,No schematic/QSF evidence of SEU_ERROR use.,,,,,
77,HPS_COLD_nRESET,,,"HPS_COLD_nRESET appears routed as SDM_HPS_COLD_RSTN; set assignment to the actual SDM_IO used, currently reviewed as SDM_IO10, and verify reset source/pull-up.",WARNING,WARNING,Worksheet currently treats SDM_IO10 as unused but schematic uses it.,,,,,
78,Direct to Factory Image,,,Direct-to-factory-image optional signal not used.,NOT USED,NOT USED,No schematic evidence of use.,,,,,
79,nCATTRIP,,,nCATTRIP not used unless routed on another page; otherwise keep unused per guideline.,NOT USED,NOT USED,No schematic evidence of use.,,,,,
81,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,Signal Name,,
82,TCK,Connected corrcetly pulled down to GND 1k,OK,"1 kohm pull-down to GND is OK only if attestation/BKP security features are not used. If attestation/BKP is planned, change TCK to 10 kohm pull-up to VCCIO_SDM.",WARNING,WARNING,Pin guideline has a security-feature exception for TCK.,"Connect this pin through a 1-kohm pull-down resistor to GND. / If you plan to use either the attestation or Black Key / Provisioning (BKP) security features, or both, do not connect this pin to GND. Connect the TCK pin to the VCCIO_SDM supply using a 10-kohm pull-up resistor.","Dedicated JTAG test clock input pin located in the Secure Device Manager (SDM) bank. / You can also use this pin to access the HPS JTAG chain. For more information, refer to the HPS JTAG Pins section. / This pin supports the 1.8-V single-ended I/O standard. / This pin has an internal 20-kohm pull-down resistor. / JTAG clock speed is 33 MHz for JTAG split mode. In the JTAG split mode, the SDM JTAG mode is independent of the HPS JTAG. / JTAG clock speed is 22 MHz for JTAG daisy-chain mode. In the JTAG daisy-chain mode, the HPS DAP TAP is daisy chained with the SDM mTAP.",TCK,,
83,TMS,Connected corrcetly pulled up to 1.8v with 10k,OK,Connected corrcetly pulled up to 1.8v with 10k,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect this pin to a 1-kohm - 10-kohm pull-up resistor to the VCCIO_SDM supply. If the JTAG interface is not used, connect the TMS pin to the VCCIO_SDM supply using a 1-kohm resistor.","Dedicated JTAG test mode select input pin located in the SDM bank. / You can also use this pin to access the HPS JTAG chain. For more information, refer to the HPS JTAG Pins section. / This pin supports the 1.8-V single-ended I/O standard. / This pin has an internal 20-kohm pull-up resistor.",TMS,,
84,TDO,Connected corrcetly pulled up to 1.8V WITH 10k,OK,"TDO connected to JTAG header is acceptable for used JTAG; external pull-up is not required by the guideline. If JTAG not used, leave TDO unconnected.",WARNING,WARNING,Current entry says pulled up; guideline says leave unconnected when JTAG unused.,"If the JTAG interface is not used, leave the TDO pin unconnected.","Dedicated JTAG test data output pin located in the SDM bank. / You can also use this pin to access the HPS JTAG chain. For more information, refer to the HPS JTAG Pins section. / This pin supports the 1.8-V single-ended I/O standard.",TDO,,
85,TDI,Connected corrcetly pulled up to 1.8V WITH 10k,OK,Connected corrcetly pulled up to 1.8V WITH 10k,OK,OK,No change recommended from available schematic/QSF evidence.,"Connect this pin to a 1-kohm - 10-kohm pull-up resistor to the VCCIO_SDM supply. If the JTAG interface is not used, connect the TDI pin to the VCCIO_SDM supply using a 1-kohm resistor.","Dedicated JTAG test data input pin located in the SDM bank. / You can also use this pin to access the HPS JTAG chain. For more information, refer to the HPS JTAG Pins section. / This pin supports the 1.8-V single-ended I/O standard. / This pin has an internal 20-kohm pull-up resistor.",TDI,,
86,nSTATUS,Connected corrcetly pulled up to 1.8v with 10k,OK,Connected corrcetly pulled up to 1.8v with 10k,OK,OK,No change recommended from available schematic/QSF evidence.,"When you are using the Avalon streaming configuration scheme, connect this pin to the configuration host. / For other configuration schemes, use this pin to monitor the configuration status. / You must pull up this pin through a 10-kohm resistor to VCCIO_SDM for all configuration schemes.","Configuration status pin. This pin is used for synchronization with the configuration host driving nCONFIG and to report errors. / This pin supports the 1.8-V single-ended I/O standard. / This pin has an internal 20-kohm pull-up resistor. / The drive strength is 8 mA. / Attention: Ensure that during power up, no external component drives the nSTATUS signal low.",nSTATUS,,
87,nCONFIG,Connected corrcetly pulled up to 1.8v with 10k,OK,Connected corrcetly pulled up to 1.8v with 10k,OK,OK,No change recommended from available schematic/QSF evidence.,"When you use the Avalon streaming configuration scheme, connect this pin to the configuration host. / When you use other configuration schemes, pull this pin to / VCCIO_SDM through an external 10-Kohm pull-up resistor. Use this pin to restart configuration by driving it low and then high again. Ensure that you follow all the requirements for the nCONFIG operation as specified in the Device Configuration User Guide: Agilex 3 FPGAs and SoCs.",The nCONFIG pin is used to clear the device and prepare for reconfiguration. / This pin supports the 1.8-V single-ended I/O standard. / This pin has an internal 20-kohm pull-up resistor.,nCONFIG,,
88,OSC_CLK_1,Connected to 100MHz,OK,Connected to 100MHz,OK,OK,No change recommended from available schematic/QSF evidence.,"If you use transceivers, MIPI, EMIF, and PHY Lite interfaces, you must provide an external clock source to this pin. / If you choose to use either the external clock source for configuration or instantiate any transceivers, MIPI, EMIF, and PHY Lite interfaces in your design, or both, you must provide a 25-MHz, 100-MHz, or 125-MHz free-running clock source to this pin and enable it in the Quartus Prime software when you compile your design. / If you are using the internal oscillator for configuration and do not instantiate any transceivers, MIPI, EMIF, and PHY Lite interfaces in your design, leave this pin unconnected.",Reference clock source for SDM PLL. / Use this pin as the clock for device configuration and transceiver calibration. / This pin supports the 1.8-V single-ended I/O standard. / This pin has an internal 20-kohm pull-down resistor.,OSC_CLK_1,,
89,AVST_DATA[15:0],NOT USED,NOT USED,NOT USED,NOT USED,OK,No change recommended from available schematic/QSF evidence.,Unused,Unused,AVST_DATA[15:0],,
90,AVST_READY(3ATbank),NOT USED,NOT USED,NOT USED,NOT USED,OK,No change recommended from available schematic/QSF evidence.,Unused,Unused,AVST_READY(3ATbank),,
91,AVST_CLK(3ATbank),NOT USED,NOT USED,NOT USED,NOT USED,OK,No change recommended from available schematic/QSF evidence.,Unused,Unused,AVST_CLK(3ATbank),,
92,AVST_VALID(3ATbank),NOT USED,NOT USED,NOT USED,NOT USED,OK,No change recommended from available schematic/QSF evidence.,Unused,Unused,AVST_VALID(3ATbank),,
93,RREF_SDM,PULLED DOWN TO GND,OK,RREF_SDM = 2 kohm +/-1% to GND; schematic shows R180 = 2 kohm +/-1%.,OK,OK,Schematic value matches guideline.,Connect a 2-kohm +/-1% resistor to GND.,Reference resistor input for the PLLs of the SDM interface.,RREF_SDM,,
94,SDM_IO0,connected to init done pulled up to 1.8v with 10k,WARNING,"SDM_IO0 is INIT_DONE per schematic; set row 74/assignment accordingly and keep 10 kohm pull-up to 1.8 V. If not using INIT_DONE, disconnect and mark unused.",WARNING,WARNING,"Current worksheet signal-name column says Unused, causing warning.",/ This pin is not used.,This pin is pulled low internally by a 20kohm resistor when the device is powered up. / This pin is not used.,Unused,,
95,SDM_IO1,OK,OK,OK,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the data1 pin of the QSPI flash device when configuring from the QSPI flash device.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the data1 pin of the QSPI flash device when configuring from the QSPI flash device.,AS_DATA1,,
96,SDM_IO2,OK,OK,OK,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the clock input of the QSPI flash device when configuring from the QSPI flash device.,This pin is pulled high internally by a 20-kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the clock input of the QSPI flash device when configuring from the QSPI flash device.,AS_CLK,,
